ScenarioName,Year,Driver,Region,Value,StandardizedValue,Baseline,Sigma,Notes
Net Zero 2050,2050,DroughtRisk,Middle East & Africa,-1.9489280510812432,-0.5744689797410104,-1.7524360748268553,0.34204105562492343,World Bank CCKP ssp126 (2040-2059)
Delayed Transition,2050,DroughtRisk,Middle East & Africa,-2.4181496203084496,-1.9462971901583792,-1.7524360748268553,0.34204105562492343,World Bank CCKP ssp245 (2040-2059)
Current Policies,2050,DroughtRisk,Middle East & Africa,-1.7524360748268553,0.0,-1.7524360748268553,0.34204105562492343,World Bank CCKP ssp585 (2040-2059)
Net Zero 2050,2030,DroughtRisk,North America,-1.0765973131231634,1.9442702481760357,-1.3636821607331788,0.14765686399786052,World Bank CCKP ssp126 (2020-2039)
Delayed Transition,2030,DroughtRisk,North America,-1.2800927698923066,0.5661056897570533,-1.3636821607331788,0.14765686399786052,World Bank CCKP ssp245 (2020-2039)
Current Policies,2030,DroughtRisk,North America,-1.3636821607331788,0.0,-1.3636821607331788,0.14765686399786052,World Bank CCKP ssp585 (2020-2039)
Net Zero 2050,2050,DroughtRisk,North America,-2.0319794819851076,-0.5564261206439446,-1.8613222237825928,0.3067024567520579,World Bank CCKP ssp126 (2040-2059)
Delayed Transition,2050,DroughtRisk,North America,-2.456902032304676,-1.9418814404983966,-1.8613222237825928,0.3067024567520579,World Bank CCKP ssp245 (2040-2059)
Current Policies,2050,DroughtRisk,North America,-1.8613222237825928,0.0,-1.8613222237825928,0.3067024567520579,World Bank CCKP ssp585 (2040-2059)
Net Zero 2050,2030,FloodRisk,Asia-Pacific (developed),0.4285309726327204,1.6309818410204855,-2.6804046871508485,1.9061742942756161,World Bank CCKP ssp126 (2020-2039)
Delayed Transition,2030,FloodRisk,Asia-Pacific (developed),-3.0367980814106272,-0.18696789445228318,-2.6804046871508485,1.9061742942756161,World Bank CCKP ssp245 (2020-2039)
Current Policies,2030,FloodRisk,Asia-Pacific (developed),-2.6804046871508485,0.0,-2.6804046871508485,1.9061742942756161,World Bank CCKP ssp585 (2020-2039)
Net Zero 2050,2050,FloodRisk,Asia-Pacific (developed),2.644611291717584,1.4226933498176875,-1.2824228657736088,2.760281516740362,World Bank CCKP ssp126 (2040-2059)
